Matrix order, Jacobi Sequential, Jacobi Paralell, Seidel Sequential, Seidel Parallel, Seidel Unstable
4291, 806.183350, 421.229800, 675.636100, 425.689750, 352.198900
4292, 807.535900, 412.757650, 674.416550, 433.403950, 343.401000
4293, 807.349600, 415.478150, 675.087850, 430.806550, 347.308600
4294, 805.955150, 420.257100, 672.466000, 437.196200, 367.620700
4295, 804.148950, 418.869750, 670.415300, 433.235450, 350.658000
4296, 806.801350, 421.989600, 807.347700, 433.854800, 398.986100
4297, 809.652500, 421.976500, 676.163450, 433.263600, 412.570300
4298, 805.187600, 423.891250, 803.882350, 432.490800, 411.026400
4299, 806.049050, 424.032350, 673.436300, 434.283600, 400.661550
4300, 807.864800, 423.660100, 675.369400, 434.498150, 350.309100
4301, 678.031700, 351.435700, 681.910500, 432.677900, 350.679400
4302, 809.920600, 416.941400, 678.344050, 428.727550, 349.122850
4303, 812.579400, 419.103300, 680.379950, 425.375900, 351.128450
4304, 807.316800, 424.215550, 674.954250, 423.600800, 350.957050
4305, 939.507400, 497.108050, 806.953100, 434.525800, 355.551700
4306, 812.241150, 429.262500, 677.852050, 437.072600, 353.503100
4307, 679.118800, 350.392350, 683.416400, 432.555900, 350.696400
4308, 816.855750, 426.266100, 684.826650, 517.860150, 353.885850
4309, 811.346350, 430.197050, 679.727900, 432.209300, 356.038750
4310, 815.738550, 424.813000, 681.109900, 433.337750, 353.785200
4311, 817.928100, 429.377600, 684.624600, 429.221400, 358.077950
4312, 808.861000, 425.651300, 676.108200, 430.865200, 349.615450
4313, 811.821100, 424.910600, 678.130350, 433.057300, 353.013100
4314, 811.816550, 428.294650, 680.860750, 434.301150, 350.345350
4315, 813.261550, 424.812900, 680.617250, 432.845700, 349.856450
4316, 811.905100, 430.973200, 680.892450, 435.130550, 355.080300
4317, 820.236450, 424.214950, 685.863200, 434.204850, 353.690650
4318, 818.123100, 432.012450, 682.852000, 433.670300, 356.922400
4319, 822.178550, 429.939450, 687.587900, 436.718750, 355.718550
4320, 818.525100, 423.934300, 684.698850, 435.715100, 351.132400
4321, 814.862400, 425.545150, 816.314000, 434.233900, 393.515550
4322, 820.155400, 429.911650, 686.083850, 525.217450, 402.294950
4323, 680.181350, 356.080150, 680.821400, 435.527200, 354.759100
4324, 817.172550, 429.120750, 682.461700, 435.818550, 355.397300
4325, 821.556950, 429.694950, 685.902100, 438.656000, 355.551450
4326, 816.776650, 430.476200, 816.666750, 445.690450, 356.549750
4327, 818.161350, 426.998050, 682.352700, 442.393350, 353.917550
4328, 816.294250, 429.336050, 683.742750, 441.406450, 354.256600
4329, 816.727450, 424.728600, 682.719600, 440.437550, 353.579150
4330, 686.392300, 356.363100, 824.307900, 529.373950, 355.618700
4331, 820.789600, 452.788100, 685.700300, 455.600700, 356.680450
4332, 819.064800, 429.397600, 684.290500, 437.979050, 397.885050
4333, 823.074600, 424.991400, 687.274600, 443.969800, 354.590500
4334, 825.433500, 428.371150, 687.300200, 440.738700, 355.579350
4335, 824.361900, 429.067550, 691.167300, 533.006600, 368.941350
4336, 822.954100, 429.845350, 689.264450, 441.039200, 354.086900
4337, 819.470150, 429.451250, 685.387450, 445.978600, 353.894350
4338, 822.393450, 430.378850, 687.494400, 441.069000, 357.784350
4339, 827.422750, 430.366300, 691.654950, 536.693400, 355.664550
4340, 824.991700, 426.324400, 690.686500, 447.405500, 353.913300
4341, 822.871200, 431.660100, 691.112500, 440.238400, 381.698950
4342, 822.578700, 433.689400, 826.135650, 537.260000, 430.560950
4343, 822.279050, 435.481500, 686.201700, 440.948450, 360.636350
4344, 824.628750, 434.042750, 691.146450, 448.028150, 357.204500
4345, 829.532700, 433.376250, 693.561750, 449.030650, 358.178000
4346, 832.848000, 432.272650, 696.654100, 449.795100, 358.177600
4347, 823.247250, 435.163700, 688.251650, 443.616550, 394.549250
4348, 828.697500, 430.769100, 693.677900, 450.161200, 359.637400
4349, 825.910950, 434.309550, 691.877500, 445.448100, 384.415000
4350, 850.623450, 451.162900, 851.973550, 447.183250, 443.982100
4351, 861.426550, 442.662900, 719.537250, 453.536200, 450.017100
4352, 826.458950, 438.729700, 690.114600, 451.467450, 366.475850
4353, 692.969100, 363.523800, 694.210950, 544.175350, 360.504300
4354, 830.134850, 438.678500, 694.371750, 447.889800, 360.135350
4355, 830.858650, 441.423300, 694.459000, 443.952400, 356.776950
4356, 694.249100, 365.196250, 695.834100, 447.761450, 359.843900
4357, 691.320200, 362.202700, 692.297250, 445.979550, 360.572450
4358, 696.954400, 359.527900, 698.231900, 450.686600, 359.452750
4359, 826.820550, 433.639050, 691.967700, 447.778400, 357.185150
4360, 831.413550, 439.863850, 694.411000, 449.098200, 360.342050
4361, 693.016500, 357.693600, 694.008100, 448.699250, 392.265800
4362, 897.308850, 444.975000, 830.365750, 441.006400, 365.003100
4363, 829.312750, 439.396450, 694.315250, 454.804250, 356.976400
4364, 830.201000, 439.513900, 693.758500, 448.846650, 356.775800
4365, 829.683000, 442.355100, 691.451450, 451.204300, 357.822500
4366, 829.980700, 439.126500, 693.134700, 450.030850, 373.064100
4367, 838.046250, 438.844450, 701.393600, 445.158950, 361.143950
4368, 830.001350, 441.998300, 697.364250, 446.879550, 358.447800
4369, 835.762650, 438.622100, 698.036300, 450.976600, 432.582500
4370, 694.669350, 369.001850, 697.715000, 447.265350, 361.119100
4371, 830.299850, 443.908300, 696.387700, 445.307450, 357.641450
4372, 838.425700, 439.168200, 699.320650, 544.881350, 399.377250
4373, 835.983250, 441.873800, 698.754000, 444.659550, 358.814900
4374, 838.969700, 441.156350, 700.496850, 443.321300, 360.253350
4375, 833.781100, 438.526400, 832.906800, 449.027950, 363.413300
4376, 834.797850, 441.185250, 698.557200, 434.523750, 360.847500
4377, 838.741050, 438.300850, 700.030750, 446.750150, 376.115850
4378, 704.406200, 363.191200, 706.107150, 435.733950, 356.850750
4379, 838.103200, 443.196150, 702.476500, 537.544200, 361.473650
4380, 986.303850, 515.431300, 846.354950, 453.041850, 408.456450
4381, 847.724850, 436.137250, 708.486200, 450.215900, 359.413700
4382, 849.602050, 441.562250, 708.455900, 448.957300, 367.462600
4383, 843.043750, 442.014450, 705.964600, 450.643500, 367.305200
4384, 838.906450, 444.771700, 700.501550, 445.479250, 365.493550
4385, 840.325850, 440.892150, 704.594400, 446.153000, 362.148250
